timestamp,m_lat,m_lon,l_lat,l_lon,x,y,z,std,rssi0,rssi1,rssi2,rssi3,nsd0,nsd1,nsd2,nsd3,x_r,y_r,z_r,std_r,rssi0_r,rssi1_r,rssi2_r,rssi3_r,nsd0_r,nsd1_r,nsd2_r,nsd3_r
2026-05-21T08:40:06.248485,-20.93480833,55.28929333,-17.1263741,42.86991474,9.24,0.17,1.6,2,-60.98327255,-60.91415024,-56.32183075,-60.13643265,-100.37274933,-100.82897186,-100.59325409,-101.19380188,9.24,0.17,1.6,2,-60.98327255,-60.91415024,-56.32183075,-60.13643265,-100.37274933,-100.82897186,-100.59325409,-101.19380188
2026-05-21T08:40:07.311933,-20.93480833,55.28929333,-19.76340391,49.40457318,8.18,-2.34,1.46,3,-59.65496826,-61.43796921,-56.11846161,-61.64389038,-98.15797424,-98.23736572,-97.53703308,-98.67185974,8.18,-2.34,1.46,3,-59.65496826,-61.43796921,-56.11846161,-61.64389038,-98.15797424,-98.23736572,-97.53703308,-98.67185974
2026-05-21T08:40:08.351401,-20.93480833,55.28929333,-20.47301089,51.43724568,7.6,-3.2,1.46,3,-59.68027496,-61.53128052,-56.64510345,-60.65135956,-102.28328705,-102.47021484,-101.86061096,-102.61203766,7.6,-3.2,1.46,3,-59.68027496,-61.53128052,-56.64510345,-60.65135956,-102.28328705,-102.47021484,-101.86061096,-102.61203766
2026-05-21T08:40:09.401432,-20.93480833,55.289295,-20.40385359,52.8608463,8.53,1.59,1.6,2,-59.85515594,-61.5349617,-55.58899689,-60.9106636,-101.6431427,-102.19606018,-100.74526978,-101.95653534,8.53,1.59,1.6,2,-59.85515594,-61.5349617,-55.58899689,-60.9106636,-101.6431427,-102.19606018,-100.74526978,-101.95653534
2026-05-21T08:40:10.457055,-20.93480833,55.289295,-20.63758874,54.09531459,7.58,3.38,1.6,3,-61.95565033,-62.36803055,-56.13105392,-60.45482635,-102.60218048,-102.63769531,-101.73416901,-102.94887543,7.58,3.38,1.6,3,-61.95565033,-62.36803055,-56.13105392,-60.45482635,-102.60218048,-102.63769531,-101.73416901,-102.94887543
2026-05-21T08:40:11.547124,-20.93480833,55.289295,-20.73401354,54.54290097,7.42,3.7,1.6,3,-61.15383911,-62.13188934,-56.68425369,-60.58125305,-95.99981689,-94.91748047,-95.59254456,-93.73236084,7.42,3.7,1.6,3,-61.15383911,-62.13188934,-56.68425369,-60.58125305,-95.99981689,-94.91748047,-95.59254456,-93.73236084
2026-05-21T08:40:12.605134,-20.93480833,55.289295,-20.89238439,54.96915871,8.67,-1.34,1.6,2,-59.52997589,-61.40665436,-58.45668411,-59.52172852,-102.25774384,-102.55984497,-100.48371124,-102.02980042,8.67,-1.34,1.6,2,-59.52997589,-61.40665436,-58.45668411,-59.52172852,-102.25774384,-102.55984497,-100.48371124,-102.02980042
2026-05-21T08:40:13.714584,-20.93481,55.28929333,-20.88739369,55.05280496,8.65,1.34,1.41,2,-59.42775726,-61.88011551,-58.59151077,-59.18688965,-98.05001831,-100.19773102,-98.45530701,-98.72259521,8.65,1.34,1.41,2,-59.42775726,-61.88011551,-58.59151077,-59.18688965,-98.05001831,-100.19773102,-98.45530701,-98.72259521
2026-05-21T08:40:14.790292,-20.93481,55.289295,-20.9107726,55.16310264,7.45,3.78,1.32,2,-59.098526,-63.45516968,-57.43791962,-61.15044403,-84.61842346,-83.90917206,-86.26752472,-84.27913666,7.45,3.78,1.32,2,-59.098526,-63.45516968,-57.43791962,-61.15044403,-84.61842346,-83.90917206,-86.26752472,-84.27913666
2026-05-21T08:40:15.841270,-20.93481,55.289295,-20.92511458,55.22373476,6.9,4.66,1.18,2,-59.15306473,-61.32858276,-56.57403946,-62.82043457,-91.60133362,-91.51747894,-92.32087708,-93.62892151,6.9,4.66,1.18,2,-59.15306473,-61.32858276,-56.57403946,-62.82043457,-91.60133362,-91.51747894,-92.32087708,-93.62892151
2026-05-21T08:40:16.931329,-20.93481,55.289295,-20.93141922,55.26341024,6.72,4.83,1.22,2,-59.52148438,-63.80209351,-56.16937256,-61.99249268,-99.42158508,-99.51970673,-99.55966949,-96.97953033,6.68,4.83,1.36,2,-58.70161819,-61.56605148,-57.19247055,-59.77156448,-82.0508728,-83.02272034,-84.10934448,-81.87363434
2026-05-21T08:40:18.041323,-20.93481,55.289295,-20.93277001,55.27493238,6.74,4.89,1.82,2,-59.41910553,-60.24582291,-55.21857452,-59.60860825,-102.43308258,-102.22538757,-101.6808548,-103.18721008,6.74,4.89,1.82,2,-59.41910553,-60.24582291,-55.21857452,-59.60860825,-102.43308258,-102.22538757,-101.6808548,-103.18721008
2026-05-21T08:40:19.098003,-20.93481,55.289295,-20.9334617,55.27940736,6.78,4.92,1.83,2,-59.15639114,-60.44703293,-57.23532104,-59.32461929,-92.10782623,-88.95859528,-87.00093079,-91.16848755,6.78,4.92,1.83,2,-59.15639114,-60.44703293,-57.23532104,-59.32461929,-92.10782623,-88.95859528,-87.00093079,-91.16848755
2026-05-21T08:40:20.148985,-20.93481,55.289295,-20.93425538,55.28435476,6.7,4.87,1.37,2,-59.15496445,-60.34803009,-56.55384827,-59.22958755,-100.02267456,-100.32232666,-99.59564209,-98.94718933,6.7,4.87,1.37,2,-59.15496445,-60.34803009,-56.55384827,-59.22958755,-100.02267456,-100.32232666,-99.59564209,-98.94718933
2026-05-21T08:40:21.216011,-20.93481167,55.289295,-20.93461406,55.28680746,6.7,4.87,1.36,1,-60.00030136,-60.01076126,-58.76316071,-60.74655533,-99.32479858,-99.91925049,-99.87395477,-100.33337402,6.7,4.87,1.36,1,-60.00030136,-60.01076126,-58.76316071,-60.74655533,-99.32479858,-99.91925049,-99.87395477,-100.33337402
2026-05-21T08:40:22.280279,-20.93481167,55.28929333,-20.93474416,55.28803436,6.74,4.89,1.36,1,-58.58566666,-59.43259048,-56.89867401,-59.85696411,-100.86257172,-100.2013855,-100.15657043,-100.81655884,6.74,4.89,1.36,1,-58.58566666,-59.43259048,-56.89867401,-59.85696411,-100.86257172,-100.2013855,-100.15657043,-100.81655884
2026-05-21T08:40:23.328350,-20.93481167,55.289295,-20.93480336,55.28866127,6.58,5.03,1.27,1,-59.04000092,-61.78860474,-58.01841736,-62.1415596,-100.7989502,-101.27923584,-99.95057678,-101.43114471,6.58,5.03,1.27,1,-59.04000092,-61.78860474,-58.01841736,-62.1415596,-100.7989502,-101.27923584,-99.95057678,-101.43114471
2026-05-21T08:40:24.398653,-20.93481167,55.289295,-20.93482543,55.28885107,6.45,5.27,1.27,2,-116.58661652,-117.61946869,-116.64450836,-117.93747711,-100.85387421,-100.98622894,-100.46465302,-100.92591858,6.45,5.27,1.27,2,-116.58661652,-117.61946869,-116.64450836,-117.93747711,-100.85387421,-100.98622894,-100.46465302,-100.92591858
2026-05-21T08:40:25.438113,-20.93481167,55.289295,-20.93484945,55.28915685,6.32,5.3,1.27,2,-62.21409607,-61.82226944,-52.91617203,-59.28806686,-95.71195221,-96.65477753,-95.59682465,-96.43387604,6.32,5.3,1.27,2,-62.21409607,-61.82226944,-52.91617203,-59.28806686,-95.71195221,-96.65477753,-95.59682465,-96.43387604
2026-05-21T08:40:26.487215,-20.93481167,55.289295,-20.934851,55.28923143,6.63,4.98,1.55,2,-60.90422821,-63.20005798,-57.29871368,-60.85864639,-102.32263184,-103.09319305,-102,-103.25899506,6.63,4.98,1.55,2,-60.90422821,-63.20005798,-57.29871368,-60.85864639,-102.32263184,-103.09319305,-102,-103.25899506
2026-05-21T08:40:27.556865,-20.93481167,55.289295,-20.9348533,55.2892786,6.87,4.48,1.83,2,-61.48135376,-62.36175919,-58.59720993,-59.37376404,-102.34432983,-103.40899658,-101.9642334,-102.85466003,6.87,4.48,1.83,2,-61.48135376,-62.36175919,-58.59720993,-59.37376404,-102.34432983,-103.40899658,-101.9642334,-102.85466003
2026-05-21T08:40:28.626526,-20.93481,55.289295,-20.9348563,55.28930772,7.1,4.26,1.41,2,-60.37031937,-62.49224472,-57.22444534,-59.40694427,-101.37493896,-102.5914917,-101.3241806,-102.43138885,7.1,4.26,1.41,2,-60.37031937,-62.49224472,-57.22444534,-59.40694427,-101.37493896,-102.5914917,-101.3241806,-102.43138885
2026-05-21T08:40:29.672725,-20.93481167,55.289295,-20.93485722,55.28931695,7.17,4.24,1.36,3,-114.54821777,-117.62652588,-114.8983078,-117.08065796,-101.61340332,-102.60974121,-100.84797668,-101.12882996,7.17,4.24,1.36,3,-114.54821777,-117.62652588,-114.8983078,-117.08065796,-101.61340332,-102.60974121,-100.84797668,-101.12882996
2026-05-21T08:40:30.752097,-20.93481167,55.289295,-20.93485782,55.28932724,7.23,4.05,1.6,3,-59.97596359,-63.14797211,-56.82818222,-59.6263237,-102.40588379,-103.46746063,-102.32800293,-103.98828125,7.23,4.05,1.6,3,-59.97596359,-63.14797211,-56.82818222,-59.6263237,-102.40588379,-103.46746063,-102.32800293,-103.98828125
2026-05-21T08:40:31.927338,-20.93481167,55.289295,-20.93486067,55.28934253,7.29,3.94,1.79,2,-60.30443573,-60.85766602,-54.71368027,-58.73940277,-101.33074951,-101.71936035,-101.12566376,-102.13327789,7.29,3.94,1.79,2,-60.30443573,-60.85766602,-54.71368027,-58.73940277,-101.33074951,-101.71936035,-101.12566376,-102.13327789
2026-05-21T08:40:33.053048,-20.93481167,55.289295,-20.93486161,55.28934701,7.31,3.9,1.79,2,-61.17715073,-61.79610062,-55.47453308,-58.51792145,-102.43736267,-103.03787231,-101.45826721,-103.51941681,7.31,3.9,1.79,2,-61.17715073,-61.79610062,-55.47453308,-58.51792145,-102.43736267,-103.03787231,-101.45826721,-103.51941681
2026-05-21T08:40:34.125898,-20.93481167,55.28929333,-20.93487413,55.28935768,7.32,3.89,1.79,2,-61.48493195,-61.39686584,-56.25347137,-60.07515717,-96.54138947,-98.07133484,-97.61210632,-98.80044556,7.32,3.89,1.79,2,-61.48493195,-61.39686584,-56.25347137,-60.07515717,-96.54138947,-98.07133484,-97.61210632,-98.80044556
2026-05-21T08:40:35.185181,-20.93481167,55.28929333,-20.93487083,55.28935398,7.23,4.15,1.31,3,-59.64108658,-61.97211456,-55.81214142,-59.38040161,-98.52126312,-100.40908051,-100.15678406,-100.02710724,7.23,4.15,1.31,3,-59.64108658,-61.97211456,-55.81214142,-59.38040161,-98.52126312,-100.40908051,-100.15678406,-100.02710724
2026-05-21T08:40:36.229418,-20.93481167,55.28929333,-20.93487075,55.28935197,7.23,4.24,1.36,3,-60.08356857,-62.40982819,-56.64547348,-60.35433197,-102.43733215,-102.80739594,-101.72996521,-102.88721466,7.23,4.24,1.36,3,-60.08356857,-62.40982819,-56.64547348,-60.35433197,-102.43733215,-102.80739594,-101.72996521,-102.88721466
2026-05-21T08:40:37.284367,-20.93481167,55.28929333,-20.93486951,55.2893495,7.29,4.12,1.55,3,-60.44680786,-62.83860397,-58.10225296,-60.8603096,-100.89667511,-98.5178833,-98.52497101,-99.89377594,7.29,4.12,1.55,3,-60.44680786,-62.83860397,-58.10225296,-60.8603096,-100.89667511,-98.5178833,-98.52497101,-99.89377594
2026-05-21T08:40:38.416048,-20.93481,55.28929333,-20.93483343,55.28935525,8.6,-1.92,1.37,2,-60.20322418,-60.88769531,-58.28076935,-61.03458023,-103.31336975,-103.44638824,-101.92967224,-104.00740814,8.6,-1.92,1.37,2,-60.20322418,-60.88769531,-58.28076935,-61.03458023,-103.31336975,-103.44638824,-101.92967224,-104.00740814
2026-05-21T08:40:39.454997,-20.93481,55.28929333,-20.93480786,55.28936528,7.3,-4.05,1.59,2,-60.32576752,-59.83771896,-58.4643898,-61.43234253,-93.14539337,-96.01803589,-92.76489258,-94.64990997,7.3,-4.05,1.59,2,-60.32576752,-59.83771896,-58.4643898,-61.43234253,-93.14539337,-96.01803589,-92.76489258,-94.64990997
2026-05-21T08:40:40.533926,-20.93481,55.28929333,-20.93480278,55.28936865,7.04,-4.38,1.79,2,-60.38759995,-59.4718399,-56.51107025,-60.59596634,-102.47499847,-101.5555954,-101.70137024,-102.89350891,7.04,-4.38,1.79,2,-60.38759995,-59.4718399,-56.51107025,-60.59596634,-102.47499847,-101.5555954,-101.70137024,-102.89350891
2026-05-21T08:40:41.590875,-20.93481,55.28929333,-20.93480197,55.28936993,6.98,-4.46,1.6,2,-60.57999802,-59.69976807,-56.98091125,-60.49660492,-85.32015991,-85.75588226,-82.11209106,-83.96472931,6.98,-4.46,1.6,2,-60.57999802,-59.69976807,-56.98091125,-60.49660492,-85.32015991,-85.75588226,-82.11209106,-83.96472931
2026-05-21T08:40:42.668582,-20.93481,55.28929333,-20.93479917,55.28937077,6.72,-4.76,1.36,2,-61.41410065,-60.56892395,-56.74383163,-60.15727234,-102.41280365,-102.27043915,-101.75608826,-103.22294617,6.72,-4.76,1.36,2,-61.41410065,-60.56892395,-56.74383163,-60.15727234,-102.41280365,-102.27043915,-101.75608826,-103.22294617
2026-05-21T08:40:43.726891,-20.93481,55.28929333,-20.93480108,55.28937146,6.89,-4.52,1.4,2,-62.0492897,-61.11408997,-56.29106522,-60.57968521,-102.94015503,-102.90652466,-102.08172607,-103.49868011,6.89,-4.52,1.4,2,-62.0492897,-61.11408997,-56.29106522,-60.57968521,-102.94015503,-102.90652466,-102.08172607,-103.49868011
2026-05-21T08:40:44.767107,-20.93481,55.28929333,-20.93480047,55.28937176,6.69,-4.81,1.36,1,-59.76644516,-60.31629562,-55.94322968,-60.37056732,-92.23567963,-93.8245697,-91.65333557,-93.13254547,6.69,-4.81,1.36,1,-59.76644516,-60.31629562,-55.94322968,-60.37056732,-92.23567963,-93.8245697,-91.65333557,-93.13254547
2026-05-21T08:40:45.831961,-20.93481,55.28929333,-20.93480195,55.28937244,6.74,-4.89,1.19,1,-59.46189117,-59.92139435,-55.69225311,-58.78024292,-102.83314514,-102.91809845,-102.78933716,-102.92176056,6.74,-4.89,1.19,1,-59.46189117,-59.92139435,-55.69225311,-58.78024292,-102.83314514,-102.91809845,-102.78933716,-102.92176056
2026-05-21T08:40:46.883694,-20.93481,55.28929333,-20.93480332,55.28937283,6.78,-4.92,1.82,2,-115.70496368,-118.01200104,-116.85565186,-119.32548523,-101.52132416,-102.04922485,-102.29970551,-102.79073334,6.78,-4.92,1.82,2,-115.70496368,-118.01200104,-116.85565186,-119.32548523,-101.52132416,-102.04922485,-102.29970551,-102.79073334
2026-05-21T08:40:47.946725,-20.93481,55.28929333,-20.93480354,55.28937351,6.43,-5.38,1.22,1,-59.164711,-59.82846069,-58.94852448,-60.52099228,-100.98387146,-101.38201141,-100.19194031,-99.40686798,6.43,-5.38,1.22,1,-59.164711,-59.82846069,-58.94852448,-60.52099228,-100.98387146,-101.38201141,-100.19194031,-99.40686798
2026-05-21T08:40:49.013694,-20.93481,55.28929333,-20.93480422,55.28937364,6.34,-5.48,1.32,1,-60.96292877,-60.62011719,-58.39756393,-58.14252853,-100.63209534,-101.62104797,-99.81855774,-101.85655975,6.34,-5.48,1.32,1,-60.96292877,-60.62011719,-58.39756393,-58.14252853,-100.63209534,-101.62104797,-99.81855774,-101.85655975
2026-05-21T08:40:50.062331,-20.93481,55.28929333,-20.93480447,55.28937385,6.27,-5.64,1.31,1,-59.01519775,-59.17025375,-59.47171402,-60.8300972,-97.5107193,-100.87017059,-99.62016296,-99.7066803,6.27,-5.64,1.31,1,-59.01519775,-59.17025375,-59.47171402,-60.8300972,-97.5107193,-100.87017059,-99.62016296,-99.7066803
2026-05-21T08:40:51.107764,-20.93481,55.28929333,-20.93480158,55.28937369,5.64,-6.2,1.32,1,-58.83537674,-59.48878479,-60.91754532,-60.40227509,-95.7088623,-97.12123871,-97.06381226,-93.34729004,5.64,-6.2,1.32,1,-58.83537674,-59.48878479,-60.91754532,-60.40227509,-95.7088623,-97.12123871,-97.06381226,-93.34729004
2026-05-21T08:40:52.177170,-20.93481,55.28929167,-20.93480279,55.28937385,5.84,-6.08,1.36,2,-115.95972443,-114.74880219,-114.67337036,-118.5954895,-94.2720108,-93.03405762,-93.61454773,-96.050354,5.84,-6.08,1.36,2,-115.95972443,-114.74880219,-114.67337036,-118.5954895,-94.2720108,-93.03405762,-93.61454773,-96.050354
2026-05-21T08:40:53.242662,-20.93480833,55.28929167,-20.93480325,55.28937331,5.67,-6.3,1.27,1,-60.87718201,-59.10154724,-60.48094177,-58.79055405,-97.41147614,-98.49067688,-97.06620789,-100.49655151,5.67,-6.3,1.27,1,-60.87718201,-59.10154724,-60.48094177,-58.79055405,-97.41147614,-98.49067688,-97.06620789,-100.49655151
2026-05-21T08:40:54.289185,-20.93480833,55.28929167,-20.93480277,55.28937297,5.45,-6.49,1.36,1,-58.41503143,-59.61149597,-61.41062927,-61.22006989,-100.99854279,-101.54468536,-101.24810028,-101.60600281,5.45,-6.49,1.36,1,-58.41503143,-59.61149597,-61.41062927,-61.22006989,-100.99854279,-101.54468536,-101.24810028,-101.60600281
2026-05-21T08:40:55.336967,-20.93480833,55.28929167,-20.93480235,55.28937265,5.31,-6.55,1.74,0,-59.37659073,-59.05454636,-62.90704727,-60.57435608,-102.01093292,-102.16319275,-101.65104675,-102.5692749,5.31,-6.55,1.74,0,-59.37659073,-59.05454636,-62.90704727,-60.57435608,-102.01093292,-102.16319275,-101.65104675,-102.5692749
2026-05-21T08:40:56.392679,-20.93480833,55.28929167,-20.93479953,55.28937262,4.99,-6.86,1.27,0,-60.02635574,-58.76607895,-61.58264923,-59.22013855,-102.48834991,-103.36219788,-101.51947021,-103.28681946,4.99,-6.86,1.27,0,-60.02635574,-58.76607895,-61.58264923,-59.22013855,-102.48834991,-103.36219788,-101.51947021,-103.28681946
2026-05-21T08:40:57.431258,-20.93480833,55.28929167,-20.93479877,55.2893726,4.98,-6.86,1.27,0,-59.4839592,-58.97202682,-61.24568558,-58.50706482,-102.59133148,-103.1122818,-102.04942322,-103.31455994,4.98,-6.86,1.27,0,-59.4839592,-58.97202682,-61.24568558,-58.50706482,-102.59133148,-103.1122818,-102.04942322,-103.31455994
2026-05-21T08:40:58.499816,-20.93480833,55.28929167,-20.93479828,55.28937257,4.99,-6.86,1.45,0,-59.03252792,-59.31006241,-62.11101151,-60.72069168,-102.5225296,-102.95596313,-101.84255219,-102.74799347,4.99,-6.86,1.45,0,-59.03252792,-59.31006241,-62.11101151,-60.72069168,-102.5225296,-102.95596313,-101.84255219,-102.74799347
2026-05-21T08:40:59.566930,-20.93480833,55.28929167,-20.93479907,55.28937263,4.98,-6.86,1.27,1,-59.40454483,-60.12257004,-62.59894943,-60.33635712,-101.85109711,-102.91585541,-101.19176483,-102.06891632,4.98,-6.86,1.27,1,-59.40454483,-60.12257004,-62.59894943,-60.33635712,-101.85109711,-102.91585541,-101.19176483,-102.06891632
2026-05-21T08:41:00.623827,-20.93480833,55.28929167,-20.93480008,55.28937269,4.96,-6.83,1.5,0,-59.08058167,-59.84091187,-61.90943527,-59.62110138,-103.13635254,-103.33740997,-102.07175446,-102.86414337,4.96,-6.83,1.5,0,-59.08058167,-59.84091187,-61.90943527,-59.62110138,-103.13635254,-103.33740997,-102.07175446,-102.86414337
2026-05-21T08:41:01.679103,-20.93480833,55.28929167,-20.93480092,55.28937276,4.96,-6.83,1.5,0,-59.75593185,-59.25247955,-62.48980331,-59.24314117,-99.39574432,-101.01997375,-98.97115326,-100.64366913,4.96,-6.83,1.5,0,-59.75593185,-59.25247955,-62.48980331,-59.24314117,-99.39574432,-101.01997375,-98.97115326,-100.64366913
2026-05-21T08:41:02.753760,-20.93480667,55.28929167,-20.93480086,55.28937313,5.01,-6.9,1.23,0,-57.8509903,-58.38409805,-62.44187927,-58.82361603,-102.09845734,-101.86575317,-102.13201904,-103.11880493,5.01,-6.9,1.23,0,-57.8509903,-58.38409805,-62.44187927,-58.82361603,-102.09845734,-101.86575317,-102.13201904,-103.11880493
2026-05-21T08:41:03.827806,-20.93480667,55.28929167,-20.93480105,55.2893731,4.99,-6.86,1.5,0,-57.98872375,-59.79367447,-61.17406464,-58.85089493,-102.17049408,-102.77373505,-101.37116241,-102.58854675,4.99,-6.86,1.5,0,-57.98872375,-59.79367447,-61.17406464,-58.85089493,-102.17049408,-102.77373505,-101.37116241,-102.58854675
